"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","21","4","94.709084","0","819"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","8","4","767.727478","0","815"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","14","2","19.304485","0","191"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","14.275176","0","103"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","6","1","16.977726","0","67"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","3","1","16.600742","0","68"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","11","1","16.278828","0","41"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","125.328751","0","211"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","5","1","114.721291","0","2591"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","2.853346","0","22"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","6","1","32.609127","0","280"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","4","1","13.941612","0","61"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","5","1","9.938209","0","37"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","58","9","3","39.551125","0","325"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","60.954090","0","548"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","4","1","97.654732","0","906"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","1","1","12.534304","0","81"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","4","1","32.454407","0","280"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","6","1","29.047733","0","414"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","2.468494","0","21"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","1","1","18.048944","0","205"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","3","1","115.691864","0","2553"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","3","1","22.870838","0","178"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","7","7","1","3.966336","0","7"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","9","9","1","4.846559","0","14"
"/ControlRig/M_Manip.M_Manip","0","9","3","1","3.737352","0","25"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","5.711017","0","17"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","4","1","2.200006","0","4"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","4.239339","0","14"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","659","9","1","512.367615","0","33086"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","139","7","1","123.855087","0","2304"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","53","7","1","170.305511","0","371"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","10","1","5.311661","0","14"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","93","9","1","73.605240","0","934"
"Globals","49","5066","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","1","1","2.745612","0","11"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","1","1","3.904619","0","21"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","2","1","12.845951","0","138"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","1","1","2.767241","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","5","1","3.783784","0","7"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","1","1","3.086753","0","26"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","7","1","1","3.893392","0","34"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","1","1","1.965352","0","13"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","9","1","1","3.874050","0","51"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","12","1","1","5.615528","0","89"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","1","1","2.487352","0","19"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","28","1","1","17.220903","0","417"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","1","1","9.586552","0","118"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","1","1","3.192547","0","19"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","1","1","3.086040","0","19"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","145","8","1","99.009987","0","10068"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","49","4","4","1","1.851404","0","7"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","52","1","1","68.282372","0","1393"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","52","1","1","62.665714","0","1329"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","52","7","1","55.075043","0","1315"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","1","1","20.008430","0","393"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","7","1","1","4.312440","0","34"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","9","1","1","5.573711","0","53"
"/ControlRig/M_Manip.M_Manip","49","9","1","1","5.378620","0","49"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","62","3","3","34.741226","0","884"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","1","1","3.073267","0","26"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","1","1","1.953393","0","13"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","49","6","1","1","4.195968","0","26"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","58","7","6","35.417381","0","477"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","53","1","1","44.471592","0","1263"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","10","1","1","6.889329","0","64"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","93","1","1","61.707096","0","3468"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","139","2","1","90.798225","0","3952"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","880","2","1","584.030518","0","96371"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","1","1","18.042641","0","344"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","1","1","3.077671","0","26"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","145","4","1","93.884644","0","6600"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","1","1","2.795091","0","26"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","49","14","1","1","10.967204","0","88"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","60","2","1","55.732498","0","1703"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","86","2","1","87.897385","0","3042"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","49","14","2","1","10.713075","0","116"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","49","15","1","1","14.628188","0","115"
"/Interchange/gltf/M_Unlit.M_Unlit","49","36","3","2","21.926077","0","389"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","49","24","1","1","75.413071","0","262"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","49","14","1","1","10.787365","0","66"
"/Interchange/Materials/SheenMaterial.SheenMaterial","49","14","1","1","11.447643","0","85"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","49","14","1","1","10.870670","0","96"
"/Interchange/gltf/M_Transmission.M_Transmission","49","108","4","4","307.845581","0","1323"
"/Interchange/gltf/M_Sheen.M_Sheen","49","120","5","4","82.082497","0","1653"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","49","14","1","1","10.061234","0","95"
"/Interchange/gltf/M_Translucent.M_Translucent","49","200","9","8","479.093140","0","2004"
"/Interchange/gltf/M_Opaque.M_Opaque","49","240","14","8","139.143707","0","2579"
